                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.61994,                0.34589,                0.98278,                0.92966,                0.94103,                0.97336,                0.79009,                0.77907,                0.42854,                0.99787,                0.00155,                0.00155,                0.00155
                    127,                0.62615,                0.34758,                0.98605,                0.90258,                0.94595,                0.97224,                0.78591,                0.76444,                 0.4232,                0.98978,              0.0015464,              0.0015464,              0.0015464
                    128,                0.61433,                0.34123,                0.97172,                 0.9159,                0.93656,                0.97029,                0.78861,                0.77598,                0.43096,                0.99805,              0.0015428,              0.0015428,              0.0015428
                    129,                0.61692,                0.34259,                0.97265,                0.92411,                0.92746,                0.97313,                0.78961,                0.78878,                 0.4192,                 1.0041,              0.0015392,              0.0015392,              0.0015392
                    130,                0.61762,                0.33674,                0.96826,                0.95103,                0.90671,                0.97293,                0.79493,                0.76543,                0.40704,                0.98906,              0.0015356,              0.0015356,              0.0015356
                    131,                0.61663,                0.33576,                0.97099,                0.93867,                  0.914,                0.97148,                0.79448,                0.76787,                0.39884,                0.98735,               0.001532,               0.001532,               0.001532
                    132,                0.62603,                0.33646,                0.97578,                0.91187,                0.92629,                0.96832,                0.79035,                0.76637,                0.42005,                0.98918,              0.0015284,              0.0015284,              0.0015284
                    133,                0.64152,                0.34943,                0.99181,                0.92414,                0.92784,                0.97191,                0.79694,                 0.7638,                0.42219,                0.98798,              0.0015248,              0.0015248,              0.0015248
                    134,                0.61747,                0.34603,                0.96658,                0.91431,                0.94377,                0.97564,                0.79384,                 0.7818,                0.41215,                0.99962,              0.0015212,              0.0015212,              0.0015212
                    135,                0.60695,                0.33797,                0.96309,                0.93213,                0.94482,                 0.9736,                0.79258,                0.77379,                0.41393,                 0.9947,              0.0015176,              0.0015176,              0.0015176
                    136,                0.61621,                   0.34,                0.96103,                0.94166,                0.92383,                 0.9765,                0.79375,                0.78238,                0.40227,                0.99496,               0.001514,               0.001514,               0.001514
                    137,                 0.6148,                0.33696,                0.96896,                0.93644,                0.94119,                0.97495,                0.79576,                0.77432,                0.40598,                0.99172,              0.0015104,              0.0015104,              0.0015104
                    138,                0.60179,                0.32675,                0.95425,                0.93643,                0.94098,                0.97203,                0.78224,                 0.7788,                0.39837,                0.99579,              0.0015068,              0.0015068,              0.0015068
                    139,                0.61324,                0.33837,                0.95998,                0.92853,                0.93366,                0.97725,                0.79718,                0.78371,                0.40311,                0.99626,              0.0015032,              0.0015032,              0.0015032
                    140,                0.60643,                0.32996,                0.96765,                0.92983,                0.92629,                0.96176,                 0.7754,                0.77613,                0.43111,                 1.0008,              0.0014996,              0.0014996,              0.0014996
                    141,                0.61284,                0.33802,                  0.975,                0.94513,                  0.914,                 0.9715,                0.79228,                0.76791,                0.40862,                0.99309,               0.001496,               0.001496,               0.001496
                    142,                0.58966,                0.32142,                0.95941,                0.92477,                0.93632,                0.97215,                0.78138,                0.79064,                0.41453,                 1.0095,              0.0014924,              0.0014924,              0.0014924
                    143,                0.60099,                0.33079,                0.96143,                0.92353,                0.94349,                0.97466,                0.78901,                0.78051,                 0.4056,                 1.0029,              0.0014888,              0.0014888,              0.0014888
                    144,                0.60698,                0.33274,                 0.9581,                0.93383,                0.93857,                0.97085,                0.78722,                0.79002,                0.42338,                 1.0043,              0.0014852,              0.0014852,              0.0014852
